ID,Título,Autores,Año,Revista / fuente,DOI,URL,Base,Perfil,Abstract,PDF status,Ruta / archivo PDF,PDF Identity Gate,Lectura full-text,Aporte al artículo original,Dimensión del visor,Tipo de aporte,Diseño / método,Unidad / caso,Hallazgos clave,Limitaciones,Calidad / appraisal,Citas / páginas,Decisión post-fulltext,Razón post-fulltext,Prioridad
R000093,Cultura política y construcción de ciudadanía: hacia una Dirección de Participación Electoral en el Gobierno del Estado de México,ERICK JOSUE PEREZ DIAZ,2025,Espacios Públicos,10.36677/espaciospublicos.v26i64.24832,https://doi.org/10.36677/espaciospublicos.v26i64.24832,crossref,module_B_es,"El presente artículo tiene como objetivo analizar teóricamente lo que implica la cultura política y la construcción de ciudadanía, los elementos obtenidos se enfocan en el campo de la participación electoral en el Estado de México en los últimos años, a su vez, y con dichas bases se pretende llevar al lector a comprender el proceso de las decisiones políticas del ciudadano, particularmente al momento de ejercer su derecho al voto, lo anterior desde un enfoque metodológico descriptivo – explicativo. En el mismo sentido, se enfatiza en materia política – democrática para dar paso a la compresión de la propuesta planteada de instaurar una Dirección de Participación Electoral en el Gobierno del Estado de México, por lo que es necesario entender conceptos claves y modelos administrativos que se ajustan a lo que en ella se plasma para darle mayor viabilidad teórica y práctica.",PENDIENTE_ADJUNTAR,,PENDIENTE,,,,,,,,,,,PENDIENTE,,ALTA
R000098,"Cuando la integridad electoral está en riesgo: democracia, fraude e instituciones en América Latina",Danillo Rafael Batista,2024,Revista Uruguaya de Ciencia Política,10.26851/rucp.33.10,https://doi.org/10.26851/rucp.33.10,crossref,module_B_es,"How do the characteristics of Electoral Management Bodies (EMBs) affect electoral fraud? This study investigates how the institutional design of EMBs influences the occurrence of electoral fraud and explores the relationship between different EMB characteristics and various types of fraud. Recent literature underscores the significance of EMB autonomy from public administration and effective institutional design. Utilizing the Electoral Integrity Project (EIP) database, the research examines elections in Latin American countries. The study finds that EMB autonomy and institutional capacity have a significant impact on electoral integrity. Moreover, the presence of electoral observers is linked to a reduction in fraud. By establishing a descriptive association between the independent variable (EMB) and the dependent variable (Fraud), and including variables related to the participation of electoral observers, the study identifies patterns in these relationships within Latin America. These findings suggest that enhancing EMB autonomy and capacity can improve electoral integrity, offering valuable insights for electoral management reforms.",PENDIENTE_ADJUNTAR,,PENDIENTE,,,,,,,,,,,PENDIENTE,,ALTA
R000117,Propuesta de un Índice para la Medición de Democracia Económica en Costa Rica (Proposal of an index to measure economic democracy in Costa Rica),Lizette Brenes Bonilla; Ligia Bermúdez Mesén,2012,TEC Empresarial,10.18845/te.v6i1.581,https://doi.org/10.18845/te.v6i1.581,crossref,module_C_es,"&lt;p&gt;En este documento se presenta una propuesta paradeterminar el índice de democracia económica en CostaRica a nivel cantonal (IDE 2010). En la primera parte seaborda el concepto desde varias perspectivas, hasta obtenerla definición que será utilizada como base para establecersus tres dimensiones de análisis: participación, acceso einserción. Posteriormente, se describe el procedimientoaplicado en la estandarización de las variables e indicadoresconsiderados inicialmente para medir cada una de esasdimensiones. Una vez seleccionados los indicadoresfinales (porcentaje de participación en las eleccionespresidenciales, cobertura de la matrícula en la educaciónsecundaria, número de personas económicamente activas(PEA) por patrono inscrito, consumo promedio deelectricidad por habitante, densidad de patentes por km2y densidad de patronos inscritos por km2), se verifica lavalidez interna del IDE por medio del análisis factorialy las medidas de correlación, con lo cual se compruebala idoneidad de estos. Asimismo, se comprueba unacorrelación significativa entre el IDE 2010 y otros tresíndices afines.&lt;/p&gt;&lt;p&gt; &lt;/p&gt;&lt;p&gt;&lt;strong&gt;ABSTRACT&lt;/strong&gt;&lt;/p&gt;&lt;p&gt;This work presents a proposal for an index ofeconomic democracy in Costa Rica at cantonal level(IDE 2010). The first part approaches the concept fromseveral different perspectives, obtaining a definitionto be used as a base to establish three different analysisdimensions: participation, access and insertion. In thesecond part, the procedure used to standardize variablesand the initial indicators used to measure said variablesis described. Once final indicators were selected, IDEinternal validation was obtained through factor analysisand correlation measurement for: electoral participationpercentage, high school enrollment, economically activepopulation per recorded employer, per capita electricpower use, commercial city permits per km2 and recordedemployers per km2. Likewise, a significant correlationbetween IDE 2010 and other three similar indices wasfound.&lt;/p&gt;",PENDIENTE_ADJUNTAR,,PENDIENTE,,,,,,,,,,,PENDIENTE,,ALTA
R000127,"Foresight, scenarios and scenario planning",,2008,Foresight,10.4324/9780203894156-13,https://doi.org/10.4324/9780203894156-13,crossref,module_D_en,"As you slide down the banisters of life may the splinters never face the wrong way. Traditional wedding toast The purpose of the chapter is to set out the art and practice of scenario writing and scenario planning, and to show the place of foresight within both. Most theoretical matters have already been discussed in Chapter 2 but some are reintroduced here for the sake of clarity. The core of scenario writing and planning lie in the wide and deep processes described in Chapter 1, in the interlinking of learning, appreciation and anticipation that underlie foresight. The preparation of scenarios; their use subsequently in planning; their analysis and presentation; and their use by an organisation in the development of policy, strategy and tactics, hinges uniquely on these three pillars of foresight. Scenario planning arose because traditional extrapolative planning collapsed in the face of the growing uncertainties every organisation faced during the ‘Cold War’ years and particularly from the mid-1960s onward. Scenario planning’s popularity and power lie in its ability to encompass the complexity of the modern world, enabling organisations to examine alternative futures for themselves while remaining adroit and aware of how world changes influence them. The chapter will be based on a nine-step approach to scenario planning. Summer schools for the UK’s Open University and other organisations showed me just how difficult it is to teach scenario writing and planning; I suspect others have had similar experiences.",PENDIENTE_ADJUNTAR,,PENDIENTE,,,,,,,,,,,PENDIENTE,,ALTA
R000173,Elecciones Generales Perú 2021: claves para diseccionar las elecciones del Bicentenario,Henry Ayala Abril,2021,Revista Elecciones,10.53557/elecciones.2021.v20n21.14,https://doi.org/10.53557/elecciones.2021.v20n21.14,crossref,module_E_es,"Las elecciones generales peruanas de 2021 se posicionaron como un reto desde muchas acepciones: por un lado, significaron una salida democrática e institucional a la crisis política producida desde la renuncia de Pedro Pablo Kuczynski en 2017 y seguida de una serie de enfrentamientos entre el Poder Ejecutivo y Legislativo que llevaron a la vacancia del expresidente Martín Vizcarra; por otro, la emergencia sanitaria de la COVID-19 y las reformas políticas a estrenar durante dichos comicios presentaban nuevas reglas y protocolos que convertían a esa elección en un tubo de ensayo para la democracia peruana. Sin embargo, la fragmentación electoral récord, la alta tasa de ausentismo, la baja confianza en los partidos políticos y los estragos de la pandemia en la población destacaron la pauta dentro de las elecciones enmarcadas en los 200 años de Independencia de Perú. El siguiente artículo examina los principales elementos y características presentes durante estos comicios, en particular su desarrollo, las candidaturas y los resultados en primera vuelta con el fin de argumentar en dónde radica la atipicidad de esta elección y las posibles implicancias para el siguiente quinquenio peruano.",PENDIENTE_ADJUNTAR,,PENDIENTE,,,,,,,,,,,PENDIENTE,,ALTA
R000174,Elecciones Internas Perú 2022: abriendo la “caja negra” de los datos electorales,Narda Carranza Pinedo,2022,Revista Elecciones,10.53557/elecciones.2022.v21n23.11,https://doi.org/10.53557/elecciones.2022.v21n23.11,crossref,module_E_es,"Las Elecciones Internas de las Elecciones Regionales y Municipales 2022 en Perú podrían ser unas de las más transparentes de su historia gracias a los datos abiertos. Si bien desde las Elecciones Internas de 2020 este tipo de procesos cuenta con las garantías que ofrece la participación de los tres organismos electorales, esta elección en particular se llevó a cabo la difusión continua de datos abiertos desde la Oficina Nacional de Procesos Electorales (Onpe). De esta forma, de enero a junio de 2022, la ciudadanía pudo acceder a través de internet a datos cuantitativos y cualitativos sobre el proceso. En este análisis exploratorio, se analizan tres temas centrales respecto a las Elecciones Internas 2022: a) la respuesta de los organismos electorales a las presiones desde el Legislativo para flexibilizar o modificar el calendario electoral, b) las características de los actores que participaron como integrantes de las organizaciones políticas (candidatas y candidatos, afiliados y afiliados, delegadas y delegados, y miembros de mesa), y c) el comportamiento de estos actores, manifestado en las preferencias por una de las dos modalidades de elecciones internas, la participación electoral, los tipos de voto, la decisión de presentar más de una lista de candidaturas y la aplicación de los criterios de paridad y alternancia.",PENDIENTE_ADJUNTAR,,PENDIENTE,,,,,,,,,,,PENDIENTE,,ALTA
R000205,Reelección presidencial y retroceso democrático en América Latina,"Torrico Terán, Mario Alejandro",2024,,,https://core.ac.uk/download/618593077.pdf,core,module_A_es,"La reelección presidencial ha sido históricamente polémica en América Latina. En la década de 1980 y a inicios de la de 1990 la regla predominante era que los presidentes solo podían optar por la reelección alterna. Sin embargo, desde mediados de los años noventa se sucedieron cambios constitucionales en algunos países para posibilitar la reelección inmediata e, incluso, una indefinida. Por otro lado, en los últimos quince años se observa un retroceso democrático en la región. ¿Hay relación entre ambos fenómenos? Analizando el periodo 1989-2020, este trabajo encuentra que la reelección inmediata y la indefinida siempre favorecen el retroceso democrático. En cambio, la reelección alterna es favorable al avance de la democracia y la prohibición de esta no muestra relación significativa. Esto da evidencia a favor de quienes advierten los riesgos de la perpetuación en el poder. También se encuentra que la calidad de las instituciones previene los retrocesos democráticos, pero tener ese tipo de instituciones toma tiempo. Estos hallazgos muestran que las constituciones políticas de los países deberían contemplar únicamente la reelección alterna y la no reelección. El cambio podría hacerse en corto plazo",PENDIENTE_ADJUNTAR,,PENDIENTE,,,,,,,,,,,PENDIENTE,,ALTA
R000247,Replication data for: The Democracy Cluster Classification Index,"Gugiu,  Mihaiela Ristei; Centellas, Miguel",2013,,10.7910/dvn/6uwauq,https://core.ac.uk/download/268485845.pdf,core,module_C_en,"Utilizing hierarchical cluster analysis, a new measure of democracy, the DCC index, is proposed and constructed from five popular indices of democracy. The results indicate democracy is a latent class variable. Sensitivity and specificity analyses were conducted for the five existing democracy indices as well as the newly proposed Unified Democracy Scores (UDS) index and a predicted DCC score. This analysis revealed significant problems with existing measures. Overall, the predicted DCC index attained the highest level of accuracy although one other index achieved high levels of accuracy in identifying non-democracies. This replication dataset contains data for 24 Latin American and 39 European countries (1980 to 2010) for Freedom House (FH), Cheibub et al.Ã¢ÂÂs index (Democ), Polity IV (polity), Vanhanen's index (VAN), and Cingranelli-Richards index (ELECSD). Missing values were imputed using the Markov Chain Monte Carlo (MCMC) method via SA 9.3 Proc MI. All analyses were conducted using SAS 9.3",PENDIENTE_ADJUNTAR,,PENDIENTE,,,,,,,,,,,PENDIENTE,,ALTA
R000248,Creating Composite Indicators with DEA and Robustness Analysis: the case of the Technology Achievement Index,A. Saltelli; Wim Moesen; R. Liska; Tom Van Puyenbroeck; Michaela Saisana; Laurens Cherchye; Nicky Rogge; S. Tarantola,2006,,10.1057/palgrave.jors.2602445,https://core.ac.uk/download/7087829.pdf,core,module_C_en,"Composite indicators are regularly used for benchmarking countries’ performance, but equally often stir controversies about the unavoidable subjectivity that is connected with their construction. Data Envelopment Analysis helps to overcome some key limitations, viz., the undesirable dependence of final results from the preliminary normalization of sub-indicators, and, more cogently, from the subjective nature of the weights used for aggregating. Still, subjective decisions remain, and such modelling uncertainty propagates onto countries’ composite indicator values and relative rankings. Uncertainty and sensitivity analysis are therefore needed to assess robustness of final results and to analyze how much each individual source of uncertainty contributes to the output variance. The current paper reports on these issues, using the Technology Achievement Index as an illustration.factor is more important in explaining the observed progress.composite indicators, aggregation, weighting, Internal Market",PENDIENTE_ADJUNTAR,,PENDIENTE,,,,,,,,,,,PENDIENTE,,ALTA
R000251,La democracia en perspectiva: consideraciones teóricas y análisis de casos,"Lopez Leyva, Miguel Armando; Labastida Martin del Campo, Julio; Castanos, Fernando",2008,,,https://core.ac.uk/download/79478659.pdf,core,module_C_es,"Este es el segundo libro del Seminario Académico Perspectiva Democrática que, desde 2002, sesiona en el Instituto de Investigaciones Sociales de la UNAM como un foro deliberativo e interdisciplinario sobre el desarrollo de la democracia en México.
El lector encontrará en el presente volumen una consideración global –conceptual y empírica– del estudio de la democracia, a partir de la exploración de algunos temas comunes en la literatura especializada (predictibilidad institucional y partidos políticos) y de la ponderación de otros temas poco analizados (deliberación y acción colectiva).
El interés de los autores estriba en contribuir al debate académico sobre la democracia, haciéndose eco de las aportaciones más importantes pero, a la par, señalando sus insuficiencias y proponiendo posibles dimensiones a tomar en cuenta para lograr una mejor explicación de los procesos políticos latinoamericanos (en particular el de México).
Siguiendo orientaciones, la primera parte del libro está dedicada a la concepción y a las formas de medición de la democracia; la segunda se enfoca al análisis de uno de los tipos de actores políticos más relevantes en las democracias –los partidos políticos–, junto a la evaluación de cuán difícil les resulta a éstos, –y otros actores–, respetar las reglas del régimen en el que conviven; finalmente, la tercera parte nos remite a la capacidad de las distintas organizaciones de la sociedad civil para incidir en la política formal, sea desde el espacio ciudadano o desde la movilización social.UNAM-Instituto de Investigaciones Sociale",PENDIENTE_ADJUNTAR,,PENDIENTE,,,,,,,,,,,PENDIENTE,,ALTA
