Fuente,Perfiles,Llamadas físicas,Registros,Únicos fuente,Únicos incrementales,OK records,OK zero,No aplicable,Estados
arxiv,15,2,40,40,40,2,0,13,OK_WITH_RECORDS:2; SKIPPED_NOT_APPLICABLE:13
core,15,15,157,138,135,14,0,0,OK_WITH_RECORDS:14; TIMEOUT_DEFERRED:1
crossref,15,15,180,170,170,15,0,0,OK_WITH_RECORDS:15
openalex,15,15,43,43,43,6,9,0,OK_WITH_RECORDS:6; OK_ZERO_RESULTS:9
scielo,15,5,11,9,9,2,0,0,OK_WITH_RECORDS:2; SKIPPED_CIRCUIT_OPEN:10; SOURCE_BLOCKED:3
scopus,15,15,336,295,295,15,0,0,OK_WITH_RECORDS:15
semantic_scholar,15,10,0,0,0,0,10,5,OK_ZERO_RESULTS:10; SKIPPED_NOT_APPLICABLE:5
