sample_id,Proceso electoral y pluralismo,Funcionamiento del gobierno,Participación política,Cultura política,Libertades civiles,overall_score,data_status
1,8.943143671862574,6.100182798359855,5.078338287805713,2.947244453212089,6.331090788759771,5.880000000000001,modeled_latent_ensemble
2,8.858625445490912,5.934543839543722,5.254835184716809,2.9611229379487414,6.390872592299818,5.88,modeled_latent_ensemble
3,8.9790539364426,6.168023365399154,5.222891648290099,2.534451903434375,6.495579146433773,5.880000000000001,modeled_latent_ensemble
4,8.892396680986652,5.941012069861758,4.89708167599304,3.339307483419288,6.330202089739263,5.88,modeled_latent_ensemble
5,8.852182436971052,6.143607557222566,5.049654017363077,2.8651530186295884,6.489402969813718,5.880000000000001,modeled_latent_ensemble
6,8.809733444688439,5.926050431867982,5.168420400809297,3.1250951736633605,6.370700548970922,5.880000000000001,modeled_latent_ensemble
7,8.79758843553478,5.897394948438117,5.084450999371426,3.352615783997557,6.26794983265812,5.88,modeled_latent_ensemble
8,8.811775174517136,5.979388114202222,4.9563611025177465,3.0964438756311097,6.556031733131787,5.88,modeled_latent_ensemble
9,8.843574756424326,5.9028257905358865,5.042972443866584,3.0932548937434325,6.517372115429772,5.880000000000001,modeled_latent_ensemble
10,8.89373645424451,5.942208495166821,5.0852146818366055,3.015699609207584,6.463140759544482,5.880000000000001,modeled_latent_ensemble
11,8.957624319172211,6.045188646553558,5.162321610167366,2.77843803918658,6.4564273849202864,5.88,modeled_latent_ensemble
12,8.793453280794214,5.92187240394487,5.07522816662707,3.1673029158064727,6.442143232827374,5.880000000000001,modeled_latent_ensemble
13,8.915912706865374,6.034197288581566,5.14743933908424,2.9881068624750684,6.314343802993753,5.880000000000001,modeled_latent_ensemble
14,8.726318882835688,6.077672437110867,4.957441251771433,3.165450474582737,6.473116953699276,5.880000000000001,modeled_latent_ensemble
15,8.75758230656861,6.038314701016969,5.301116129515139,2.9287238194077285,6.374263043491555,5.880000000000001,modeled_latent_ensemble
16,8.795423285738112,5.969449925956686,4.8299536341885485,3.2238763154123724,6.581296838704282,5.880000000000001,modeled_latent_ensemble
17,8.92659169478168,5.892972063503474,5.27399851857065,2.708724899237559,6.5977128239066385,5.88,modeled_latent_ensemble
18,8.88206215881202,6.071421998033771,5.063597993017585,2.826327478778171,6.556590371358452,5.880000000000001,modeled_latent_ensemble
19,8.917770470821793,5.879357979855637,4.872083799288404,3.288794494251756,6.441993255782411,5.880000000000001,modeled_latent_ensemble
20,8.991472556449894,6.022060009173279,5.063789171362939,3.047761242502046,6.274917020511844,5.88,modeled_latent_ensemble
21,8.820083274615827,6.053111899517331,4.982076657077772,3.1607273166613785,6.384000852127692,5.880000000000001,modeled_latent_ensemble
22,8.897273726030535,5.927019372782373,5.113373983834077,3.0170618504189335,6.445271066934082,5.880000000000001,modeled_latent_ensemble
23,8.774619937183811,5.969260480085094,5.142756080206188,3.1752760102063515,6.338087492318557,5.88,modeled_latent_ensemble
24,8.887401522829999,6.0228922546770125,5.225746279747564,2.9462523715096682,6.317707571235758,5.880000000000001,modeled_latent_ensemble
25,8.966951574349201,6.118656942185661,5.1345415045918745,2.7871482558836376,6.392701722989627,5.88,modeled_latent_ensemble
26,8.904870863221005,6.19633232588166,5.226162319869497,2.735652071707823,6.336982419320016,5.880000000000001,modeled_latent_ensemble
27,8.884009981646765,5.945289560803892,5.025300847017808,3.0246596966739987,6.520739913857538,5.880000000000001,modeled_latent_ensemble
28,8.779639322062419,6.084003651077048,5.097189073886108,3.017413982091729,6.421753970882697,5.880000000000001,modeled_latent_ensemble
29,8.950124269125327,6.090121550534088,5.131716047970287,2.7535799086738892,6.474458223696409,5.88,modeled_latent_ensemble
30,8.802520799179577,5.975566119396421,5.284966510586642,2.9227796139991735,6.414166956838187,5.88,modeled_latent_ensemble
31,8.769963135543955,6.014179901832018,4.864454514946359,3.2033784823514617,6.548023965326207,5.88,modeled_latent_ensemble
32,8.809938807823347,6.106126822807286,5.121700292730298,2.959208515972885,6.403025560666184,5.880000000000001,modeled_latent_ensemble
33,8.788958809276032,6.122434816692905,4.813237547898031,3.194334792229684,6.481034033903349,5.88,modeled_latent_ensemble
34,8.899818701656832,6.019979820962762,5.055505849205469,3.19408374022049,6.230611887954448,5.88,modeled_latent_ensemble
35,8.854236778968465,6.097423967849861,4.958682845342915,3.056378825753457,6.433277582085303,5.88,modeled_latent_ensemble
36,8.858360880825686,6.1329809879499635,5.05557987192858,2.8906739622311552,6.462404297064617,5.88,modeled_latent_ensemble
37,8.887982025984668,6.167425366130129,5.0509971665757405,2.823503500054718,6.470091941254747,5.880000000000001,modeled_latent_ensemble
38,8.93101141076299,6.0514418952444995,4.995546299207169,3.025526511329725,6.396473883455618,5.880000000000001,modeled_latent_ensemble
39,8.775918432377143,5.885375830450285,4.922207357866271,3.470094969590556,6.346403409715745,5.88,modeled_latent_ensemble
40,8.728139761094692,5.935128106072182,4.829810967346733,3.4402463039067275,6.4666748615796665,5.879999999999999,modeled_latent_ensemble
41,9.016464540529128,6.152432250990956,5.047830553531426,2.692481628617156,6.490791026331334,5.88,modeled_latent_ensemble
42,8.75680530541543,6.0604578265581255,5.1218343270097035,3.1379984390780984,6.3229041019386445,5.880000000000001,modeled_latent_ensemble
43,8.878160177571248,6.045142268192797,5.347769175801292,2.5468916770666965,6.582036701367968,5.880000000000001,modeled_latent_ensemble
44,8.748962084781821,5.958366523812733,5.1106644442353835,3.3637295704596637,6.218277376710399,5.880000000000001,modeled_latent_ensemble
45,8.958923247580351,6.081578852041093,5.321064610501857,2.6097116913116194,6.428721598565081,5.880000000000001,modeled_latent_ensemble
46,8.835067346876183,5.972726534164876,5.06253417512489,3.303003694932527,6.226668248901525,5.880000000000001,modeled_latent_ensemble
47,8.997117629660163,6.042332955138753,5.085596572825573,2.896993426801076,6.377959415574437,5.880000000000001,modeled_latent_ensemble
48,8.752100563945676,6.007144389032585,4.974565809287702,3.2474738139772117,6.418715423756826,5.88,modeled_latent_ensemble
49,8.738266028188853,5.938576388672341,5.245374087140636,3.06354715732118,6.414236338676991,5.880000000000001,modeled_latent_ensemble
50,8.86093651979921,6.042665784489862,5.07624441450405,2.8440429759981347,6.576110305208744,5.880000000000001,modeled_latent_ensemble
51,8.995652468753976,6.1316609695533595,5.138987304846954,2.783406463438356,6.350292793407357,5.880000000000001,modeled_latent_ensemble
52,8.928875196146755,6.007291538968098,5.026634004473449,3.2739436929928467,6.163255567418853,5.880000000000001,modeled_latent_ensemble
53,8.765393414927548,5.901147211756961,4.964001450619487,3.3832444736378577,6.386213449058147,5.880000000000001,modeled_latent_ensemble
54,8.96321598874688,5.969762540820708,5.037042392238728,2.9092252145711397,6.520753863622545,5.880000000000001,modeled_latent_ensemble
55,8.836521307732683,6.016130681818148,4.9306305350439334,3.1079485055288756,6.5087689698763596,5.880000000000001,modeled_latent_ensemble
56,8.967673513823566,6.087433656340766,4.945426608659292,3.088916618086945,6.310549603089432,5.88,modeled_latent_ensemble
57,8.952936231121008,5.99073604449875,4.925771099529509,2.970671677732077,6.559884947118658,5.880000000000001,modeled_latent_ensemble
58,8.857680407727342,6.02581259099266,4.96917756606314,3.2998072730391272,6.247522162177732,5.88,modeled_latent_ensemble
59,8.814690374608098,6.1319862103687734,5.014433889379185,2.94834325809491,6.490546267549036,5.88,modeled_latent_ensemble
60,8.887228942186983,6.047942511965723,5.300622587877137,2.7785862358832794,6.3856197220868784,5.88,modeled_latent_ensemble
61,8.821017133668025,5.992845878305581,5.16884587438343,3.0618064788238204,6.355484634819144,5.88,modeled_latent_ensemble
62,8.854498732568931,5.970933157257302,5.016293584689569,3.0682063948282243,6.490068130655975,5.880000000000001,modeled_latent_ensemble
63,9.032986767561805,6.117257231137886,5.005033816772329,2.7429554612926763,6.501766723235304,5.88,modeled_latent_ensemble
