year,peru_score,latin_america_score,world_score,peru_regime_type,peru_minus_latam,peru_minus_world,latam_minus_world,peru_pct_change_vs_2020,latin_america_pct_change_vs_2020,world_pct_change_vs_2020,source_peru,source_latam,source_world,peru_rank,data_status_peru
2020,6.53,6.09,5.37,Flawed democracy,0.44,1.16,0.72,0.0,0.0,0.0,"EIU, Democracy Index 2020, Table 8, p. 37","EIU, Democracy Index 2020, Chart 7/Table 8, p. 37","EIU, Democracy Index 2020, overview + Chart 7, pp. 3–4, 37",57,observed_EIU
2021,6.09,5.83,5.28,Flawed democracy,0.26,0.81,0.55,-6.74,-4.27,-1.68,"EIU, Democracy Index 2021, Table 8, p. 49","EIU, Democracy Index 2021, category chart, pp. 48–49","EIU, Democracy Index 2021, category chart, pp. 48–49",,observed_EIU
2022,5.92,5.79,5.29,Hybrid regime,0.13,0.63,0.5,-9.34,-4.93,-1.49,"EIU, Democracy Index 2022, Table 8, pp. 43–44","EIU, Democracy Index 2022, category chart, pp. 43–45","EIU, Democracy Index 2022, overview + chart, pp. 3–7, 43–45",75,observed_EIU
2023,5.81,5.68,5.23,Hybrid regime,0.13,0.58,0.45,-11.03,-6.73,-2.61,"EIU, Democracy Index 2023, Table 2, p. 13","EIU, Democracy Index 2023, category chart, pp. 45–46","EIU, Democracy Index 2023, overview + chart, pp. 3–5, 45–46",,observed_EIU
2024,5.69,5.61,5.17,Hybrid regime,0.08,0.52,0.44,-12.86,-7.88,-3.72,"EIU, Democracy Index 2024, Table 2, p. 18 / Table 6, p. 54","EIU, Democracy Index 2024, Table 6, pp. 53–54","EIU, Democracy Index 2024, overview + category chart, pp. 6–12, 43",78,observed_EIU
2025,5.88,5.71,5.19,Hybrid regime,0.17,0.69,0.52,-9.95,-6.24,-3.35,EIU Democracy Index 2025 overall score reported in a secondary cross-country time-series table; the supplied EIU summary does not publish the Peru country table.,"EIU, Democracy Index 2025, Latin America and the Caribbean, Figure 14 / p. 24.","EIU, Democracy Index 2025, Figure 14 / p. 24.",76,secondary_reported_aggregate
