category_full,category_es,peru_2024_official_source_observed,central_anchor_2025,anchor_sigma,admissible_low,p10,p50,p90,admissible_high,overall_constraint,data_status,interpretation
Electoral process and pluralism,Proceso electoral y pluralismo,8.75,8.88,0.08,8.72,8.772,8.8794,8.9874,9.04,5.88,modeled_latent_ensemble,Uncertainty in dimensional composition; not an official EIU Peru sub-score.
Functioning of government,Funcionamiento del gobierno,5.71,6.03,0.0875,5.855,5.9135,6.0301,6.1432,6.205,5.88,modeled_latent_ensemble,Uncertainty in dimensional composition; not an official EIU Peru sub-score.
Political participation,Participación política,5.0,5.07,0.14,4.79,4.9057,5.0703,5.2371,5.35,5.88,modeled_latent_ensemble,Uncertainty in dimensional composition; not an official EIU Peru sub-score.
Political culture,Cultura política,2.5,3.0,0.3944,2.2112,2.692,2.9988,3.3075,3.7888,5.88,modeled_latent_ensemble,Uncertainty in dimensional composition; not an official EIU Peru sub-score.
Civil liberties,Libertades civiles,6.47,6.42,0.141,6.138,6.2518,6.4218,6.586,6.702,5.88,modeled_latent_ensemble,Uncertainty in dimensional composition; not an official EIU Peru sub-score.
