year,category,category_full,peru_score,latin_america_score,world_score,peru_minus_latam,peru_minus_world,latam_minus_world,source_peru,source_latam,source_world,data_status_peru,data_status_latam,data_status_world
2023,Cultura política,Political culture,3.13,4.01,5.24,-0.88,-2.11,-1.23,"EIU, Democracy Index 2023, Table 2, p. 13","EIU, Democracy Index 2023, category chart, pp. 45–46","EIU, Democracy Index 2023, overview + chart, pp. 3–5, 45–46",observed_EIU,observed_EIU,observed_EIU
2023,Participación,Political participation,5.0,5.72,5.34,-0.72,-0.34,0.38,"EIU, Democracy Index 2023, Table 2, p. 13","EIU, Democracy Index 2023, category chart, pp. 45–46","EIU, Democracy Index 2023, overview + chart, pp. 3–5, 45–46",observed_EIU,observed_EIU,observed_EIU
2024,Libertades civiles,Civil liberties,6.47,6.43,5.35,0.04,1.12,1.08,"EIU, Democracy Index 2024, Table 2, p. 18 / Table 6, p. 54","EIU, Democracy Index 2024, Table 6, pp. 53–54","EIU, Democracy Index 2024, overview + category chart, pp. 6–12, 43",observed_EIU,observed_EIU,observed_EIU
2024,Proceso electoral,Electoral process and pluralism,8.75,7.03,5.41,1.72,3.34,1.62,"EIU, Democracy Index 2024, Table 2, p. 18 / Table 6, p. 54","EIU, Democracy Index 2024, Table 6, pp. 53–54","EIU, Democracy Index 2024, overview + category chart, pp. 6–12, 43",observed_EIU,observed_EIU,observed_EIU
2024,Gobierno,Functioning of government,5.71,4.92,4.53,0.79,1.18,0.39,"EIU, Democracy Index 2024, Table 2, p. 18 / Table 6, p. 54","EIU, Democracy Index 2024, Table 6, pp. 53–54","EIU, Democracy Index 2024, overview + category chart, pp. 6–12, 43",observed_EIU,observed_EIU,observed_EIU
2024,Cultura política,Political culture,2.5,3.91,5.25,-1.41,-2.75,-1.34,"EIU, Democracy Index 2024, Table 2, p. 18 / Table 6, p. 54","EIU, Democracy Index 2024, Table 6, pp. 53–54","EIU, Democracy Index 2024, overview + category chart, pp. 6–12, 43",observed_EIU,observed_EIU,observed_EIU
2024,Participación,Political participation,5.0,5.74,5.33,-0.74,-0.33,0.41,"EIU, Democracy Index 2024, Table 2, p. 18 / Table 6, p. 54","EIU, Democracy Index 2024, Table 6, pp. 53–54","EIU, Democracy Index 2024, overview + category chart, pp. 6–12, 43",observed_EIU,observed_EIU,observed_EIU
2025,Libertades civiles,Civil liberties,6.42,6.3,5.32,0.12,1.1,0.98,Central value of a modeled latent anchor ensemble constrained to Peru overall=5.88; NOT an EIU-published Peru sub-pillar value.,"EIU Democracy Index 2025, Figure 14, p. 24.","EIU Democracy Index 2025, Figure 14, p. 24.",modeled_latent_central,official_source_observed,official_source_observed
2025,Proceso electoral y pluralismo,Electoral process and pluralism,8.88,7.14,5.38,1.74,3.5,1.76,Central value of a modeled latent anchor ensemble constrained to Peru overall=5.88; NOT an EIU-published Peru sub-pillar value.,"EIU Democracy Index 2025, Figure 14, p. 24.","EIU Democracy Index 2025, Figure 14, p. 24.",modeled_latent_central,official_source_observed,official_source_observed
2025,Funcionamiento del gobierno,Functioning of government,6.03,5.13,4.6,0.9,1.43,0.53,Central value of a modeled latent anchor ensemble constrained to Peru overall=5.88; NOT an EIU-published Peru sub-pillar value.,"EIU Democracy Index 2025, Figure 14, p. 24.","EIU Democracy Index 2025, Figure 14, p. 24.",modeled_latent_central,official_source_observed,official_source_observed
2025,Cultura política,Political culture,3.0,4.3,5.32,-1.3,-2.32,-1.02,Central value of a modeled latent anchor ensemble constrained to Peru overall=5.88; NOT an EIU-published Peru sub-pillar value.,"EIU Democracy Index 2025, Figure 14, p. 24.","EIU Democracy Index 2025, Figure 14, p. 24.",modeled_latent_central,official_source_observed,official_source_observed
2025,Participación política,Political participation,5.07,5.69,5.33,-0.62,-0.26,0.36,Central value of a modeled latent anchor ensemble constrained to Peru overall=5.88; NOT an EIU-published Peru sub-pillar value.,"EIU Democracy Index 2025, Figure 14, p. 24.","EIU Democracy Index 2025, Figure 14, p. 24.",modeled_latent_central,official_source_observed,official_source_observed
